display_name,full_name,gender,age,date_of_birth,bowling_style,position_name,country_name
Qamar Mushtaque,Qamar Mushtaque,M,37,1988-11-02T00:00Z,Right-arm medium-fast,Unknown,Norway
Rhys Saunders,Rhys Harald Okland Saunders,M,22,2004-01-16T00:00Z,Right-arm offbreak,Unknown,Norway
Jai Sinh,Jai Sinh,M,27,1998-08-07T00:00Z,Right-arm medium-fast,Unknown,Switzerland
Kenardo Fletcher,Kenardo Fletcher,M,36,1989-12-26T00:00Z,Left-arm medium-fast,Unknown,Switzerland
Sathya Narayanan,Sathya Narayanan,M,45,1980-06-27T00:00Z,,Unknown,Switzerland
Azeem Nazir,Azeem Nazir,M,47,1979-01-15T00:00Z,Right-arm medium-fast,Unknown,Switzerland
Awais Ikram,Awais Ikram,M,36,1989-06-07T00:00Z,Right-arm medium-fast,Unknown,Slovenia
Ayyaz Qureshi,Ayyaz Ahmed Qureshi,M,43,1982-10-21T00:00Z,Right-arm medium-fast,Unknown,Slovenia
Dileep Pallekonda,Dileep Kumar Pallekonda,M,33,1992-05-29T00:00Z,Slow left-arm orthodox,Unknown,Slovenia
Bhagwant Sandhu,Bhagwant Singh Sandhu,M,28,1998-01-01T00:00Z,Right-arm medium-fast,Unknown,Slovenia
Mazhar Khan,Mazhar Khan,M,39,1986-07-31T00:00Z,,Unknown,Slovenia
Shahid Arshad,Muhammad Shahid Arshad,M,41,1985-02-05T00:00Z,Right-arm medium-fast,Unknown,Slovenia
Shoaib Siddiqui,Muhammad Shoaib Naseem Siddiqui,M,35,1991-04-03T00:00Z,Right-arm medium-fast,Unknown,Slovenia
Ramanjot Singh,Ramanjot Singh,M,30,1995-12-10T00:00Z,Right-arm offbreak,Unknown,Slovenia
Taher Mohammad,Taher Mohammad,M,35,1991-01-04T00:00Z,,Unknown,Slovenia
Waqar Khan,Waqar Khan,M,30,1996-01-01T00:00Z,,Unknown,Slovenia
Sudhakar Koppolu,Sudhakar Koppolu,M,32,1993-05-15T00:00Z,Left-arm medium-fast,Unknown,Slovenia
Waleed Stanekzai,Mohammad Waleed Stanekzai,M,21,2005-04-27T00:00Z,Right-arm medium-fast,Bowler,Afghanistan
Dharm Singh,Dharm Singh,M,0,,,Allrounder,Ireland
Jarryd Allan,Jarryd David Allan,M,35,1990-11-18T00:00Z,,Unknown,Vanuatu
Akash Babu,Akash Babu,M,35,1990-10-29T00:00Z,Legbreak,Unknown,Qatar
Jumadin Sultani,Jumadin Sultani,M,0,,Slow left-arm orthodox,Bowler,Afghanistan
Rival Samson,Rival Shem Kalomirata Samson,M,26,2000-04-29T00:00Z,Right-arm medium,Unknown,Vanuatu
Fahim Bahrami,Fahim Bahrami,M,0,,Right-arm medium,Unknown,Afghanistan
Sajjad Ibrahim,Sajjad Ibrahim,M,25,2001-04-28T00:00Z,,Top-order batter,Pakistan
Hafeez,Hafeez,M,0,,,Unknown,Afghanistan
Ibrahim Sultanzada,Ibrahim Sultanzada,M,0,,Right-arm medium,Unknown,Afghanistan
Hamilton Nyakatawa,Hamilton Samuel Nyakatawa,M,29,1996-08-23T00:00Z,,Unknown,Eswatini
Buhle Dlamini,Buhle Mamello Dlamini,M,27,1998-09-10T00:00Z,Right-arm medium,Unknown,Eswatini
Tahir Patel,Tahir Abdul Umarji Patel,M,40,1986-01-10T00:00Z,Right-arm medium,Unknown,Eswatini
Eric Phiri,Eric Phiri,M,30,1995-11-07T00:00Z,Right-arm offbreak,Unknown,Eswatini
Loyiso Dlamini,Loyiso Enziwe Dlamini,M,25,2001-01-22T00:00Z,Right-arm medium,Unknown,Eswatini
Wandile Dlamini,Wandile Dlamini,M,41,1985-02-02T00:00Z,Right-arm offbreak,Unknown,Eswatini
Musa Twala,Musa Twala,M,35,1991-01-03T00:00Z,Right-arm medium,Wicketkeeper,Eswatini
AM Ghazanfar,AM Ghazanfar,M,20,2006-03-20T00:00Z,Right-arm offbreak,Bowler,Afghanistan
Ismail Tarakai,Ismail Tarakai,M,0,,Right-arm offbreak,Unknown,Afghanistan
Jose Joao,Jose Melita Joao,M,22,2004-05-02T00:00Z,Left-arm medium,Unknown,Mozambique
Ihsanullah Katawazai,Ihsanullah Katawazai,M,0,,,Unknown,Afghanistan
Javed Tarakai,Javed Tarakai,M,22,2004-01-04T00:00Z,,Unknown,Afghanistan
Dinuka Samarawickrama,Dinuka Samarawickrama,M,35,1990-07-12T00:00Z,Right-arm offbreak,Unknown,Italy
Yash Talati,Yash Talati,M,22,2003-07-10T00:00Z,Slow left-arm orthodox,Unknown,Kenya
Rohan Patil,Rohan A Patil,M,24,2001-08-18T00:00Z,,Top-order batter,India
Hekmatullah Khogiyani,Hekmatullah Khogiyani,M,24,2001-12-01T00:00Z,Right-arm medium,Unknown,Austria
Ravichandran Smaran,Ravichandran Smaran,M,23,2003-05-05T00:00Z,Right-arm offbreak,Batter,India
Macneil Noronha,Macneil Hadley Noronha,M,24,2001-09-23T00:00Z,Right-arm offbreak,Allrounder,India
Sabir Ali,Sabir Ali,M,34,1991-07-11T00:00Z,Left-arm fast-medium,Bowler,United Arab Emirates
Naveen Thailappan,Naveen Thailappan,M,33,1992-05-17T00:00Z,Slow left-arm orthodox,Unknown,Bahrain
Sachin Kumar,Sachin Kumar,M,37,1989-04-03T00:00Z,Right-arm offbreak,Unknown,Bahrain
Ahsan Khan,Ahsan Khan,M,0,,,Unknown,Afghanistan
Imran Khan,Imran Khan,M,36,1990-04-01T00:00Z,Right-arm medium,Unknown,Bahrain
Yasin Patel,Yasin Ishak Patel,M,28,1997-08-28T00:00Z,Slow left-arm orthodox,Bowler,Kuwait
Mohamed Shafeeq,Mohamed Shafeeq Manakkadavath,M,32,1994-04-21T00:00Z,Right-arm medium,Bowler,Kuwait
Awais Akram,Awais Akram,M,26,2000-04-10T00:00Z,,Unknown,Pakistan
Ali Razzaq,Ali Razzaq,M,21,2004-06-12T00:00Z,Right-arm medium-fast,Unknown,Pakistan
Sufyan Moqim,Sufyan Moqim,M,23,2002-05-15T00:00Z,Left-arm wrist-spin,Bowler,Pakistan
Arsalan Mehzood,Arsalan Mehzood,M,28,1998-01-06T00:00Z,Right-arm offbreak,Unknown,Pakistan
Khawaja Nafay,Khawaja Muhammad Nafay,M,24,2002-02-13T00:00Z,Right-arm offbreak,Wicketkeeper batter,Pakistan
Saad Asif,Saad Asif,M,0,,Slow left-arm orthodox,Unknown,Pakistan
Hasitha Amarasinghe,Hasitha Amarasinghe,M,23,2003-02-02T00:00Z,Right-arm offbreak,Top-order batter,Sri Lanka
Sahan Mihira,Hadun Dewage Sahan Mihira de Silva,M,22,2004-05-01T00:00Z,Right-arm medium-fast,Unknown,Sri Lanka
Adwitya Bhargava,Adwitya Bhargava,M,20,2006-01-06T00:00Z,Right-arm medium,Unknown,Singapore
Aryaveer Chaudhary,Aryaveer Chaudhary,M,19,2006-06-02T00:00Z,Left-arm medium,Unknown,Singapore
Josh Hull,Joshua Owen Hull,M,21,2004-08-20T00:00Z,Left-arm fast-medium,Bowler,England
Jesse Bootan,Jesse Bootan,M,0,,,Unknown,West Indies
Hunain Shah,Hunain Shah,M,22,2004-02-04T00:00Z,Right-arm medium,Bowler,Pakistan
Jalat Khan,Jalat Khan,M,23,2002-11-01T00:00Z,Left-arm fast,Bowler,Pakistan
Mirza Baig,Mirza Tahir Baig,M,26,1999-11-03T00:00Z,Right-arm offbreak,Top-order batter,Pakistan
Azaz Khan,Azaz Khan,M,27,1999-02-24T00:00Z,Right-arm offbreak,Unknown,Pakistan
Mohammad Naeem,Mohammad Naeem,M,27,1999-04-10T00:00Z,,Batter,Pakistan
Ali Imran,Ali Imran,M,26,1999-11-19T00:00Z,Slow left-arm orthodox,Unknown,Pakistan
Vishil Patel,Vishil Patel,M,20,2005-05-10T00:00Z,Legbreak,Bowler,Kenya
Arafat Minhas,Arafat Minhas,M,21,2005-01-02T00:00Z,Slow left-arm orthodox,Bowler,Pakistan
Majid Asghar,Majid Asghar,M,30,1996-01-01T00:00Z,Legbreak,Unknown,Pakistan
Mohammad Rameez,Mohammad Rameez,M,27,1998-12-05T00:00Z,Right-arm medium,Unknown,Pakistan
Basit Ali,Basit Ali,M,22,2004-03-05T00:00Z,Slow left-arm orthodox,Unknown,Pakistan
Rasool Bakash,Rasool Bakash,M,22,2004-01-01T00:00Z,Left-arm medium,Unknown,Pakistan
Usman Tariq,Usman Tariq,M,28,1998-01-01T00:00Z,Right-arm offbreak,Bowler,Pakistan
William Kokaua,William Kokaua,M,35,1991-04-27T00:00Z,Right-arm medium-fast,Unknown,Cook Islands
Gabe Raymond,Gabe Raymond,M,45,1980-08-15T00:00Z,Right-arm medium-fast,Unknown,Cook Islands
Liam Denny,Liam George Roderick Denny,M,20,2005-10-05T00:00Z,Right-arm medium,Unknown,Cook Islands
Glenn Miller,Glenn Miller,M,56,1969-11-09T00:00Z,,Unknown,Cook Islands
Atif Khan,Atif Khan,M,21,2004-08-03T00:00Z,Right-arm medium,Unknown,Pakistan
Aue Parima,Aue Metua Parima,M,25,2000-05-18T00:00Z,Right-arm medium,Unknown,Cook Islands
Cory Dickson,Cory Russell Dickson,M,23,2002-11-23T00:00Z,Right-arm offbreak,Unknown,Cook Islands
Thomas Parima,Thomas Tereapii Nikau Parima,M,33,1992-06-08T00:00Z,Right-arm medium,Unknown,Cook Islands
Tomasi Vanuarua,Tomasi Vanuarua,M,40,1985-06-30T00:00Z,Right-arm offbreak,Unknown,Cook Islands
Dan Simpson,Dan Simpson,M,37,1988-12-24T00:00Z,Right-arm medium-fast,Unknown,Cook Islands
Caleb Jasmat,Caleb Kiran Jasmat,M,30,1995-10-28T00:00Z,Left-arm medium,Unknown,Samoa
Fereti Suluoto,Fereti Suluoto,M,32,1994-02-05T00:00Z,Right-arm medium,Unknown,Samoa
Siteri Tabuisulu,Siteri Tabuisulu,M,26,1999-08-18T00:00Z,Left-arm medium-fast,Unknown,Fiji
Davis Teinaki,Davis Teinaki,M,45,1980-11-17T00:00Z,Legbreak,Unknown,Cook Islands
Tomakanute Ritawa,Tomakanute Ritawa,M,50,1975-11-19T00:00Z,Right-arm offbreak,Unknown,Cook Islands
Ben Vakatini,Ben Vakatini,M,41,1984-11-13T00:00Z,Right-arm medium-fast,Unknown,Cook Islands
Darren Roache,Darren Ernest Roache,M,19,2006-07-25T00:00Z,Legbreak,Unknown,Samoa
Sosiceni Delai,Sosiceni Delai,M,35,1991-01-08T00:00Z,,Unknown,Fiji
Tevita Waqavakatoga,Tevita Sokokisolomone Waqavakatoga,M,32,1993-06-05T00:00Z,Right-arm medium,Unknown,Fiji
Aaftab Limdawala,Aaftab Limdawala,M,21,2004-06-18T00:00Z,,Unknown,Malawi
Mohammad Farooq,Mohammad Farooq,M,22,2004-03-04T00:00Z,,Opening batter,Pakistan
Eliyas Jabarkhel,Eliyas Jabarkhel,M,27,1999-01-01T00:00Z,Right-arm medium,Unknown,Luxembourg
Beston Masauko,Beston Masauko,M,21,2004-08-18T00:00Z,,Unknown,Malawi
Kulbhushan Jadhav,Kulbhushan Anill Jadhav,M,39,1987-01-15T00:00Z,Right-arm medium,Unknown,Cameroon
Gagandeep Singh,Gagandeep Singh,M,32,1994-02-19T00:00Z,,Unknown,Ghana
Shoaib Bashir,Shoaib Bashir,M,22,2003-10-13T00:00Z,Right-arm offbreak,Bowler,England
Joel Curtis,Joel L Curtis,M,26,1999-11-04T00:00Z,,Wicketkeeper batter,Australia
Akhil Anil,Akhil Anil,M,28,1997-11-18T00:00Z,Right-arm offbreak,Unknown,Tanzania
Amal Rajeevan,Amal Puthenpulrayi Rajeevan,M,28,1997-06-28T00:00Z,,Unknown,Tanzania
Sam Seecharan,Samuel Jack Seecharan,M,19,2006-08-16T00:00Z,Right-arm medium,Unknown,England
Afaq Ahmed,Afaq Ahmed,M,26,2000-03-10T00:00Z,Right-arm offbreak,Unknown,Pakistan
Darsh Vora,Darsh Vora,M,20,2005-07-26T00:00Z,Right-arm medium,Bowler,Hong Kong
Haydon Mustard,Haydon Samuel Mustard,M,19,2006-07-12T00:00Z,Right-arm medium,Wicketkeeper batter,England
Jack Home,Jack Edward Home,M,20,2006-05-02T00:00Z,Right-arm medium-fast,Bowler,England
Tashi Chopel,Tashi Chopel,M,21,2005-02-05T00:00Z,Right-arm medium-fast,Unknown,Bhutan
Shashank Shukla,Shashank Shekhar Shukla,M,20,2005-08-25T00:00Z,Slow left-arm orthodox,Unknown,Bahrain
Anand Mongar,Anand Mongar,M,21,2005-02-07T00:00Z,Right-arm offbreak,Unknown,Bhutan
Tshering Tashi,Tshering Tashi,M,20,2005-06-05T00:00Z,Right-arm offbreak,Unknown,Bhutan
Ugyen Dorji,Ugyen Dorji,M,18,2007-10-05T00:00Z,,Unknown,Bhutan
Asad Rasheed,Asad Rasheed,M,30,1995-08-22T00:00Z,Left-arm medium,Bowler,Hong Kong
Ahmad Raza,Muhammad Ahmad Raza,M,21,2004-09-15T00:00Z,Right-arm medium-fast,Unknown,Saudi Arabia
Aryan Bisht,Aryan Raju Bisht,M,21,2004-11-19T00:00Z,Right-arm offbreak,Middle-order batter,Oman
Karma Dorji,Karma Dorji,M,19,2006-08-25T00:00Z,,Unknown,Bhutan
Zuber Sunasara,Mohammad Zuber Sunasara,M,19,2007-03-14T00:00Z,Right-arm medium-fast,Unknown,Saudi Arabia
Ghayour Ahmad,Muhammad Ghayour Ahmad,M,20,2005-09-07T00:00Z,Right-arm medium-fast,Unknown,Saudi Arabia
Zuhair Muhammad,Zuhair Muhammad,M,21,2005-03-19T00:00Z,Right-arm offbreak,Unknown,Saudi Arabia
Aaryan Modi,Aaryan Modi,M,20,2005-10-19T00:00Z,,Unknown,Singapore
Aaryan Menon,Aaryan Russell Menon,M,21,2005-01-10T00:00Z,Right-arm medium-fast,Unknown,Singapore
Wiraphan Ngowhuad,Wiraphan Ngowhuad,M,20,2005-11-16T00:00Z,Right-arm medium-fast,Unknown,Thailand
Vihaan Hampihallikar,Vihaan Hampihallikar,M,19,2006-06-14T00:00Z,Legbreak,Unknown,Singapore
Sidhant Srikanth,Sidhant Srikanth,M,21,2005-01-07T00:00Z,,Unknown,Singapore
Venkatesan Thiyanesh,Venkatesan Thiyanesh Thiyanesh,M,20,2005-08-06T00:00Z,Right-arm medium-fast,Unknown,Singapore
Anucha Kalasi,Anucha Kalasi,M,19,2006-06-27T00:00Z,Legbreak,Unknown,Thailand
Meeka-eel Prince,Meeka-eel Prince,M,22,2004-04-05T00:00Z,,Wicketkeeper batter,South Africa
Dewan Marais,Dewan Marais,M,21,2004-10-15T00:00Z,,Batter,South Africa
Hamish McKenzie,Hamish McKenzie,M,26,1999-09-21T00:00Z,Left-arm wrist-spin,Bowler,Australia
Onkgomoditse Seletswane,Onkgomoditse Richard Seletswane,M,21,2005-01-21T00:00Z,Right-arm offbreak,Batter,South Africa
Rajab Hussain,Rajab Hussain,M,23,2002-11-10T00:00Z,Right-arm medium,Allrounder,Hong Kong
Abdullah Bayoumy,Abdullah Bayoumy,M,0,,Right-arm fast-medium,Allrounder,South Africa
Mark Pearse,Mark Pearse,M,0,,,Unknown,South Africa
Juan James,Juan James,M,21,2004-10-07T00:00Z,Right-arm offbreak,Allrounder,South Africa
Ketut Artawan,I Ketut Edi Guna Artawan,M,26,2000-04-23T00:00Z,,Unknown,Indonesia
Muhammad Afis,Muhammad Afis,M,29,1997-04-10T00:00Z,Right-arm offbreak,Unknown,Indonesia
Reo Sakurano-Thomas,Reo Sakurano-Thomas,M,26,1999-06-21T00:00Z,Right-arm medium,Unknown,Japan
Gede Priandana,Gede Agus Priandana,M,28,1997-10-03T00:00Z,,Unknown,Indonesia
Ryan Drake,Ryan Drake,M,23,2002-10-09T00:00Z,Right-arm medium,Bowler,Japan
Padmakar Surve,Padmakar Rajaram Surve,M,44,1981-08-31T00:00Z,,Unknown,Indonesia
Kohei Kubota,Kohei Kubota,M,27,1998-08-17T00:00Z,Right-arm medium,Unknown,Japan
Sabaorish Ravichandran,Sabaorish Ravichandran,M,33,1992-06-12T00:00Z,Legbreak,Bowling allrounder,Japan
Piyush Kumbhare,Piyush Kumbhare,M,35,1990-06-14T00:00Z,Slow left-arm orthodox,Unknown,Japan
Declan Suzuki,Declan Suzuki-McComb,M,23,2003-03-16T00:00Z,Right-arm medium,Allrounder,Japan
Ibrahim Takahashi,Ibrahim Takahashi,M,27,1998-11-28T00:00Z,Right-arm offbreak,Unknown,Japan
Lachlan Yamamoto-Lake,Lachlan Yamamoto-Lake,M,23,2002-10-22T00:00Z,,Unknown,Japan
Alam Nakash,Alam Nakash,M,36,1989-12-21T00:00Z,Left-arm medium,Unknown,South Korea
Vinay Iyer,Vinay Iyer,M,41,1985-05-06T00:00Z,Right-arm offbreak,Unknown,Japan
Aamir Lal,Aamir Lal,M,35,1990-08-10T00:00Z,Right-arm offbreak,Unknown,South Korea
Kuldeep Gurjar,Kuldeep Gurjar,M,41,1984-07-26T00:00Z,Legbreak,Unknown,South Korea
Hansamana de Silva,Karunakalage Hansamana Jayathudheero de Silva,M,23,2003-04-27T00:00Z,Right-arm medium,Unknown,Sri Lanka
Sana Ullah,Sana Ullah,M,35,1991-04-18T00:00Z,Left-arm medium,Unknown,South Korea
Asif Iqbal,Asif Iqbal,M,44,1982-01-28T00:00Z,Right-arm medium,Unknown,South Korea
Saif-Ul Islam,Mohammad Saif-Ul Islam,M,24,2001-10-02T00:00Z,Right-arm medium,Unknown,Norway
Fortune Mhlanga,Fortune Mhlanga,M,0,,,Unknown,Zimbabwe
Abhishek Kumar,Abhishek Kumar,M,24,2002-05-04T00:00Z,Right-arm medium-fast,Unknown,India
Avinov Choudhury,Avinov Arup Choudhury,M,26,1999-12-01T00:00Z,Slow left-arm orthodox,Unknown,India
Nihar Narah,Nihar Narah,M,23,2002-10-10T00:00Z,Right-arm medium-fast,Unknown,India
Jehu Anderson,Jehu Anderson,M,26,1999-11-12T00:00Z,,Unknown,India
Vanlalhruailuanga,Vanlalhruailuanga,M,27,1999-03-14T00:00Z,Right-arm medium-fast,Unknown,India
Lalhriatrenga,Lalhriatrenga,M,26,1999-12-18T00:00Z,Right-arm medium-fast,Unknown,India
F Lalmuanzuala,F Lalmuanzuala,M,27,1998-08-20T00:00Z,Legbreak,Unknown,India
Nabam Hachang,Nabam Hachang,M,29,1996-11-06T00:00Z,,Unknown,India
Susheel Kumar,Susheel Kumar,M,29,1996-10-30T00:00Z,Left-arm medium-fast,Unknown,India
Meet Desai,Meet Darpan Desai,M,28,1997-05-16T00:00Z,Right-arm medium-fast,Unknown,India
Rajan Kumar,Rajan Kumar,M,29,1996-07-08T00:00Z,Left-arm medium-fast,Bowler,India
Tanmay Gupta,Tanmay Gupta,M,22,2003-11-19T00:00Z,Right-arm medium-fast,Unknown,India
Rohan Sharma,Rohan Sharma,M,30,1995-10-14T00:00Z,Legbreak,Unknown,India
Tollum Makcha,Tollum Makcha,M,35,1991-01-16T00:00Z,Right-arm medium-fast,Unknown,India
Chetan Anand,Chetan Anand,M,29,1996-09-01T00:00Z,Legbreak,Unknown,India
Satyam Baliyan,Satyam Baliyan,M,23,2003-01-27T00:00Z,Right-arm medium-fast,Unknown,India
Kunal Singh Rathore,Kunal Singh Rathore,M,23,2002-10-09T00:00Z,,Wicketkeeper batter,India
Virendra Gurjar,Virendra Singh Gurjar,M,27,1998-11-10T00:00Z,Left-arm medium-fast,Unknown,India
Krishna Prasad,Krishna Prasad,M,26,1999-07-01T00:00Z,Right-arm offbreak,Unknown,India
Pieter Mardi,Pieter Mardi,M,28,1998-04-20T00:00Z,Legbreak,Unknown,India
Om T Munde,Om T Munde,M,22,2003-06-16T00:00Z,Legbreak,Unknown,India
Aashirwad Swain,Aashirwad Swain,M,21,2005-03-03T00:00Z,,Unknown,India
Raghuvendra Pratap Singh,Raghuvendra Pratap Singh,M,22,2003-08-01T00:00Z,Right-arm medium-fast,Unknown,India
Sushil Barik,Sushil Barik,M,23,2002-10-25T00:00Z,Slow left-arm orthodox,Unknown,India
Mustaq Beg,Mustaq Beg,M,27,1998-07-15T00:00Z,Legbreak,Unknown,India
Aayush Pandey,Ayush Shashi Kanth Pandey,M,22,2003-09-19T00:00Z,Right-arm offbreak,Opening batter,India
Kamal Tripathi,Kamal Tripathi,M,27,1998-08-15T00:00Z,Right-arm offbreak,Unknown,India
Jayram Reddy,Jayram Reddy,M,33,1993-04-26T00:00Z,Right-arm medium-fast,Unknown,India
Chanchal Rathore,Chanchal Rathore,M,23,2002-11-29T00:00Z,Right-arm offbreak,Unknown,India
Sunil Kumar,Sunil Ram Kumar,M,29,1997-03-11T00:00Z,Left-arm medium,Bowler,India
Baljeet Singh Bihari,Baljeet Singh Bihari,M,23,2002-09-14T00:00Z,,Wicketkeeper batter,India
Harsh Desai,Harsh Sathish Desai,M,23,2002-10-30T00:00Z,Right-arm medium-fast,Unknown,India
Ramakrishna Ghosh,Ramakrishna Shekhar Ghosh,M,28,1997-08-28T00:00Z,Right-arm medium-fast,Bowling allrounder,India
Rohit Dhanda,Rohit Dhanda,M,28,1997-11-19T00:00Z,Right-arm medium-fast,Unknown,India
Akshit Rana,Akshit Rana,M,24,2002-02-08T00:00Z,,Unknown,India
Tayyab Arif,Mohammad Tayyab Arif,M,19,2006-10-11T00:00Z,,Batter,Pakistan
Shawaiz Irfan,Shawaiz Irfan,M,22,2003-11-01T00:00Z,,Unknown,Pakistan
Farhan Yousaf,Farhan Yousaf,M,19,2006-12-15T00:00Z,,Middle-order batter,Pakistan
Uzair Mumtaz,Uzair Mumtaz,M,21,2004-06-21T00:00Z,Right-arm offbreak,Unknown,Pakistan
Mohammad Ibtisam,Mohammad Ibtisam,M,20,2005-09-24T00:00Z,Right-arm medium-fast,Unknown,Pakistan
Hasnain Majid,Hasnain Majid,M,21,2005-04-10T00:00Z,,Unknown,Pakistan
Saqlain Nawaz,Saqlain Nawaz,M,20,2005-07-11T00:00Z,Right-arm medium-fast,Unknown,Pakistan
Matthew Tromp,Matthew Warren Tromp,M,21,2005-04-01T00:00Z,Right-arm medium-fast,Allrounder,South Africa
Mohammad Shoaib,Mohammad Shoaib,M,20,2006-01-06T00:00Z,Right-arm medium,Unknown,Pakistan
Muhammad Ismail,Muhammad Ismail,M,20,2006-01-02T00:00Z,Right-arm medium,Bowler,Pakistan
Momin Qamar,Momin Qamar,M,19,2006-10-04T00:00Z,Left-arm wrist-spin,Bowler,Pakistan
Saad Masood,Chaudhry Saad Masood,M,21,2004-12-10T00:00Z,Legbreak googly,Allrounder,Pakistan
Shamyl Hussain,Shamyl Hussain,M,21,2004-10-10T00:00Z,,Opening batter,Pakistan
Afaq Khan,Afaq Khan,M,22,2004-04-10T00:00Z,,Unknown,Pakistan
Saad Baig,Saad Baig,M,19,2006-11-01T00:00Z,,Wicketkeeper batter,Pakistan
Mohammad Zulkifal,Mohammad Zulkifal,M,21,2004-10-04T00:00Z,,Unknown,Pakistan
Aftab Ibrahim,Aftab Ibrahim,M,22,2004-04-15T00:00Z,Right-arm medium-fast,Unknown,Pakistan
Muneeb Wasif,Muneeb Wasif,M,22,2003-11-15T00:00Z,Right-arm medium-fast,Unknown,Pakistan
Fahad Amin,Fahad Amin,M,20,2005-05-31T00:00Z,Right-arm medium-fast,Unknown,Pakistan
James Rai,James Rai,M,35,1990-09-21T00:00Z,Right-arm medium,Unknown,India
Mohammad Nabeel,Mohammad Nabeel,M,17,2009-01-10T00:00Z,Right-arm medium-fast,Unknown,Pakistan
Shahzaib Khan,Shahzaib Khan,M,20,2005-10-05T00:00Z,Right-arm offbreak,Opening batter,Pakistan
Aimal Khan,Aimal Khan,M,21,2004-10-17T00:00Z,Right-arm medium,Unknown,Pakistan
Habibullah,Habibullah,M,22,2004-02-01T00:00Z,Right-arm medium-fast,Unknown,Pakistan
Ali Raza,Ali Raza,M,18,2008-03-18T00:00Z,Right-arm fast,Bowler,Pakistan
Afnan Khan,Afnan Khan,M,22,2003-10-31T00:00Z,Slow left-arm orthodox,Unknown,Pakistan
Amir Hassan,Amir Hassan,M,21,2005-03-01T00:00Z,Left-arm medium-fast,Unknown,Pakistan
Ziaullah,Ziaullah,M,20,2005-10-11T00:00Z,Slow left-arm orthodox,Unknown,Pakistan
Haroon Arshad,Haroon Arshad,M,20,2005-10-31T00:00Z,,Batter,Pakistan
Wahaj Riaz,Wahaj Riaz,M,21,2004-09-10T00:00Z,Right-arm offbreak,Unknown,Pakistan
Neeraj Rathour,Neeraj Singh Rathour,M,28,1998-01-05T00:00Z,Right-arm offbreak,Unknown,India
Gourav Choudhary,Gourav Choudhary,M,27,1998-10-28T00:00Z,Right-arm offbreak,Unknown,India
Shakib Ali,Shakib Ali,M,0,,Left-arm medium,Batter,Pakistan
Khush Mohamed,Khush Mohamed,M,0,,Legbreak,Unknown,India
Ahmed Sharif,Ahmed Sharif,M,22,2004-03-28T00:00Z,Right-arm fast,Unknown,Bangladesh
Adil Naz,Adil Naz,M,24,2002-05-02T00:00Z,,Unknown,Pakistan
Mayank Yadav,Mayank Yadav,M,23,2002-11-03T00:00Z,Right-arm medium,Unknown,India
Suryansh Shedge,Suryansh Shedge,M,23,2003-01-29T00:00Z,Right-arm medium-fast,Batting allrounder,India
Rithik Singh,Rithik Singh,M,0,,,Unknown,India
Sakib Hussain,Sakib Hussain,M,21,2004-12-14T00:00Z,Right-arm medium,Bowler,India
Bikash Singh,Bikash Biren Singh,M,33,1992-11-17T00:00Z,Left-arm medium,Unknown,India
Mohit Panwar,Mohit Panwar,M,0,,,Unknown,India
Nishant Kushwah,Nishant Kushwah,M,31,1994-10-18T00:00Z,Right-arm offbreak,Unknown,India
Mustafa Nasir,Mustafa Nasir,M,26,2000-02-08T00:00Z,Right-arm medium,Unknown,Pakistan
Navin Bidaisee,Navin Bidaisee,M,26,2000-03-24T00:00Z,Legbreak,Batting allrounder,West Indies
Roshan Madhav,Roshan Kumar Madhav,M,28,1997-06-18T00:00Z,Right-arm offbreak,Unknown,India
Anik Ahmed,Anik Ahmed,M,30,1996-03-04T00:00Z,Right-arm medium,Unknown,Italy
Sachin Gill,Sachin Gill,M,29,1996-12-04T00:00Z,Right-arm medium-fast,Unknown,Kenya
Quentin Sampson,Quentin Sampson,M,25,2000-08-04T00:00Z,Right-arm medium-fast,Batter,West Indies
Pushkar Sharma,Pushkar Sharma,M,25,2000-10-12T00:00Z,Left-arm medium-fast,Unknown,Kenya
Johann Jeremiah,Johann Francis Jeremiah,M,27,1999-02-12T00:00Z,Right-arm offbreak,Top-order batter,West Indies
Pathirage Sadev, Pathirage Sadev,M,20,2006-01-05T00:00Z,,Unknown,Italy
Gurpreet Singh,Gurpreet Singh,M,21,2004-11-12T00:00Z,Right-arm medium,Unknown,Italy
Shadrack Descarte,Shadrack Descarte,M,0,,Right-arm medium-fast,Allrounder,West Indies
Nitish Hirani,Nitish Hirani,M,21,2004-08-25T00:00Z,Legbreak,Unknown,Kenya
Prince Dhiman,Prince Dhiman,M,33,1993-01-26T00:00Z,Right-arm medium,Unknown,Spain
Achintha Denuwan,Achintha Denuwan,M,21,2004-11-06T00:00Z,Right-arm medium,Unknown,Italy
Pidusha Fernando,Pidusha Fernando,M,23,2003-03-25T00:00Z,Right-arm medium-fast,Unknown,Italy
Aime Mucyodusenge,Aime Mucyodusenge,M,25,2001-01-01T00:00Z,,Unknown,Rwanda
Chowdhury Md Rizwan,Chowdhury Md Rizwan,M,21,2005-05-03T00:00Z,Right-arm medium,Batting allrounder,Bangladesh
Uday Hathinjar,Uday Singh Hathinjar,M,28,1998-03-29T00:00Z,Right-arm medium,Unknown,Cambodia
Anmoldeep Singh,Anmoldeep Singh,M,20,2006-02-09T00:00Z,Right-arm medium,Unknown,Italy
