player,salary,team,country,season,role,type
₹30 Lakh,Onkar Tukaram Tarmale,SRH,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Sakib Hussain,SRH,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Praful Hinge,SRH,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Sahil Parakh,DC,🇮🇳 India,2026,Batter,Auction
₹30 Lakh,Daksh Kamra,KKR,🇮🇳 India,2026,All-rounder,Auction
₹30 Lakh,Sarthak Ranjan,KKR,🇮🇳 India,2026,WK-Batter,Auction
₹30 Lakh,Kartik Tyagi,KKR,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Cooper Connolly,PBKS,🌍 Overseas,2026,All-rounder,Auction
₹30 Lakh,Harnoor Singh,PBKS,🇮🇳 India,2026,Bowler,Retention
₹30 Lakh,Vihaan Malhotra,RCB,🇮🇳 India,2026,Batter,Auction
₹30 Lakh,Prithvi Raj Yarra,GT,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Danish Malewar,MI,🇮🇳 India,2026,Bowler,Auction
₹30 Lakh,Mohammad Izhar,MI,🇮🇳 India,2026,Bowler,Auction
